Date,Open,High,Low,Close*,Adj Close**,Volume,ATR_14,EMA_10,RSI_14
2023-03-23,32101.49,32511.49,31864.74,32105.25,32105.25,335430000,409.9857142857145,32731.478408485083,11.11016805296235
2023-03-22,32570.19,32761.89,32020.46,32030.11,32030.11,325990000,431.77571428571434,32603.95687966961,12.690139739725197
2023-03-21,32420.71,32593.68,32346.12,32560.6,32560.6,363190000,458.13499999999993,32596.073810638773,28.855652147744692
2023-03-20,31872.33,32280.07,31872.33,32244.58,32244.58,357210000,482.9142857142854,32532.165845068084,26.67100120996352
2023-03-16,31827.65,32281.61,31571.46,32246.55,32246.55,440940000,514.9857142857145,32480.23569141934,27.695310530599315
2023-03-15,31759.87,31906.47,31429.82,31874.57,31874.57,420910000,561.3542857142859,32370.11465661582,24.443547438713153
2023-03-14,32055.29,32306.59,31805.4,32155.4,32155.4,391760000,571.5035714285716,32331.075628140214,31.370340269394944
2023-03-13,31819.93,32240.35,31624.87,31819.14,31819.14,429090000,587.8149999999999,32237.99642302381,24.427638659682827
2023-03-10,32185.14,32422.1,31783.41,31909.64,31909.64,397790000,583.4935714285712,32178.295255201298,28.992995150488767
2023-03-09,32876.83,32990.46,32190.6,32254.86,32254.86,315860000,618.4607142857138,32192.21611789197,40.494044715766975
2023-03-08,32872.08,32903.44,32612.7,32798.4,32798.4,242750000,641.9957142857139,32302.431369184338,51.12850422909757
2023-03-07,33428.31,33453.25,32838.21,32856.46,32856.46,299400000,658.6207142857139,32403.163847514457,56.972187276561456
2023-03-06,33425.32,33572.22,33383.47,33431.44,33431.44,329190000,689.2264285714284,32590.123147966373,62.97256881162672
2023-03-03,33076.33,33405.82,33008.41,33390.97,33390.97,300050000,674.6642857142854,32735.73166651794,65.59655357055935
2023-03-02,32780.97,33083.45,32665.85,33003.57,33003.57,317450000,680.2621428571427,32784.42954533286,61.36291191694115
2023-03-01,32656.37,32746.15,32500.71,32661.84,32661.84,292810000,663.2214285714284,32762.14053709052,57.48592826079228
2023-02-28,32873.47,32873.47,32636.43,32656.7,32656.7,303760000,639.8978571428571,32742.969530346785,51.30072277415341
2023-02-27,32906.16,33189.28,32814.18,32889.09,32889.09,243660000,628.777142857143,32769.53688846555,58.92556924721705
2023-02-24,32999.19,32999.19,32643.48,32816.92,32816.92,277120000,603.4600000000002,32778.15199965363,57.74818171691566
2023-02-23,33175.39,33272.4,32795.67,33153.91,33153.91,288120000,579.1742857142862,32846.47163608024,67.5459722191745
2023-02-22,33169.33,33245.97,32948.27,33045.09,33045.09,321910000,564.6392857142865,32882.58406588383,62.8061963283788
2023-02-21,33699.69,33699.69,33115.74,33129.59,33129.59,348320000,567.4335714285727,32927.494235723134,70.33653950606927
2023-02-17,33677.01,33846.64,33517.73,33826.69,33826.69,302900000,573.0307142857158,33090.984374682565,75.03650245134523
2023-02-16,33992.09,34041.16,33686.59,33696.85,33696.85,317530000,521.1557142857164,33201.141761103914,69.95485908339847
2023-02-15,34008.63,34130.49,33833.1,34128.05,34128.05,267530000,505.80285714285907,33369.67053181229,68.99071352466147
2023-02-14,34194.09,34331.47,33827.45,34089.27,34089.27,288820000,495.02928571428805,33500.50679875551,67.70510496882082
